[2025-07-27 08:58:47,805] DEBUG    [ThreadPoolExecutor-0_4|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): github.whrstudio.top:443
[2025-07-27 08:58:47,805] DEBUG    [ThreadPoolExecutor-0_6|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): ghproxy.net:443
[2025-07-27 08:58:47,806] DEBUG    [ThreadPoolExecutor-0_1|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): github.7boe.top:443
[2025-07-27 08:58:47,806] DEBUG    [ThreadPoolExecutor-0_0|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): ghfast.top:443
[2025-07-27 08:58:47,807] DEBUG    [ThreadPoolExecutor-0_7|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): fastgit.cc:443
[2025-07-27 08:58:47,807] DEBUG    [ThreadPoolExecutor-0_3|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): gh-proxy.ygxz.in:443
[2025-07-27 08:58:47,808] DEBUG    [ThreadPoolExecutor-0_5|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): proxy.yaoyaoling.net:443
[2025-07-27 08:58:47,809] DEBUG    [ThreadPoolExecutor-0_2|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): cdn.moran233.xyz:443
[2025-07-27 08:58:47,809] DEBUG    [ThreadPoolExecutor-0_8|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): git.886.be:443
[2025-07-27 08:58:47,810] DEBUG    [ThreadPoolExecutor-0_9|MainProcess] urllib3.connectionpool (connectionpool.py:_new_conn:1022) | Starting new HTTPS connection (1): gh-proxy.com:443
[2025-07-27 08:58:47,905] DEBUG    [ThreadPoolExecutor-0_8|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://git.886.be:443 "GET / HTTP/1.1" 522 0
[2025-07-27 08:58:47,907] DEBUG    [ThreadPoolExecutor-0_3|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://gh-proxy.ygxz.in:443 "GET / HTTP/1.1" 200 None
[2025-07-27 08:58:47,932] DEBUG    [ThreadPoolExecutor-0_9|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://gh-proxy.com:443 "GET / HTTP/1.1" 200 None
[2025-07-27 08:58:48,073] DEBUG    [ThreadPoolExecutor-0_5|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://proxy.yaoyaoling.net:443 "GET / HTTP/1.1" 200 None
[2025-07-27 08:58:48,233] WARNING  [ThreadPoolExecutor-0_4|MainProcess] urllib3.connection (connection.py:_match_hostname:547) | Certificate did not match expected hostname: github.whrstudio.top. Certificate: {'subject': ((('commonName', 'app-zpnchain.io'),),), 'issuer': ((('countryName', 'US'),), (('organizationName', "Let's Encrypt"),), (('commonName', 'R10'),)), 'version': 3, 'serialNumber': '06957295091DE15C907EE9CEE40CA776FBC0', 'notBefore': 'Jul 24 12:33:36 2025 GMT', 'notAfter': 'Oct 22 12:33:35 2025 GMT', 'subjectAltName': (('DNS', 'app-zpnchain.io'),), 'caIssuers': ('http://r10.i.lencr.org/',), 'crlDistributionPoints': ('http://r10.c.lencr.org/65.crl',)}
[2025-07-27 08:58:48,360] DEBUG    [ThreadPoolExecutor-0_0|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://ghfast.top:443 "GET / HTTP/1.1" 200 None
[2025-07-27 08:58:48,462] DEBUG    [ThreadPoolExecutor-0_6|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://ghproxy.net:443 "GET / HTTP/1.1" 200 None
[2025-07-27 08:58:48,655] DEBUG    [ThreadPoolExecutor-0_2|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://cdn.moran233.xyz:443 "GET / HTTP/1.1" 404 19
[2025-07-27 08:58:48,895] DEBUG    [MainThread|MainProcess] eyed3 (log.py:<module>:38) | eyeD3 version 0.9.8
[2025-07-27 08:58:49,133] DEBUG    [ThreadPoolExecutor-0_7|MainProcess] urllib3.connectionpool (connectionpool.py:_make_request:475) | https://fastgit.cc:443 "GET / HTTP/1.1" 200 None
[2025-07-27 08:58:51,465] WARNING  [MainThread|MainProcess] Logger (config.py:validate_config:176) | 建议设置好 root 账号保证权限功能能够正常使用
[2025-07-27 08:58:51,465] INFO     [MainThread|MainProcess] Logger (config.py:validate_config:177) | [BOTQQ]: 2958815892 | [WSURI]: ws://localhost:3001 | [WS_TOKEN]:  | [ROOT]: 123456 | [WEBUI]: http://localhost:6099
[2025-07-27 08:58:51,465] INFO     [MainThread|MainProcess] Logger (config.py:validate_config:189) | 未启用插件白名单或黑名单，将加载所有插件
[2025-07-27 08:58:51,466] DEBUG    [MainThread|MainProcess] AccessController (access_controller.py:_load_access:172) | 加载权限
[2025-07-27 08:58:51,485] DEBUG    [MainThread|MainProcess] asyncio (proactor_events.py:__init__:634) | Using proactor: IocpProactor
[2025-07-27 08:58:51,487] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET / HTTP/1.1
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: yeZHgH+1XGvH4p2/mDi3Pw==
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-07-27 08:58:51,488] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.12 websockets/10.4
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: 1EevAydTjhg6o6BhZN4f21Jxygw=
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] Logger (wsroute.py:check_websocket:29) | WebSocket ws://localhost:3001 可用.
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_close_frame:1232) | = connection is CLOSING
[2025-07-27 08:58:51,489] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > CLOSE 1000 (OK) [2 bytes]
[2025-07-27 08:58:51,490] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"time":1753577931,"self_id":2958815892,"post_t...","sub_type":"connect"}' [116 bytes]
[2025-07-27 08:58:51,490] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < CLOSE 1000 (OK) [2 bytes]
[2025-07-27 08:58:51,490] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_lost:1514) | = connection is CLOSED
[2025-07-27 08:58:51,492] INFO     [MainThread|MainProcess] adapter.nc.launcher (launcher.py:ncatbot_service_remote_start:51) | napcat 服务器 ws://localhost:3001 在线, 连接中...
[2025-07-27 08:58:51,492] WARNING  [MainThread|MainProcess] adapter.nc.launcher (launcher.py:ncatbot_service_remote_start:53) | 跳过基于 WebUI 交互的检查, 请自行确保 NapCat 已经登录了正确的 QQ 2958815892
[2025-07-27 08:58:51,492] INFO     [MainThread|MainProcess] Logger (client.py:run:319) | NapCat 服务启动登录完成
[2025-07-27 08:58:51,492] DEBUG    [MainThread|MainProcess] asyncio (proactor_events.py:__init__:634) | Using proactor: IocpProactor
[2025-07-27 08:58:51,493] DEBUG    [MainThread|MainProcess] Logger (client.py:info_subscribe_message_types:250) | 已订阅消息类型:[群聊]全部消息类型
[2025-07-27 08:58:51,493] DEBUG    [MainThread|MainProcess] Logger (client.py:info_subscribe_message_types:251) | 已订阅消息类型:[私聊]全部消息类型
[2025-07-27 08:58:51,493] INFO     [MainThread|MainProcess] PluginLoader (loader.py:load_plugins:474) | 插件目录: d:\Learning\Workplaces\TestQQAi\NcatBot-AI\scr\plugins 不存在......跳过加载插件
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET /event HTTP/1.1
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: KkF4CTyRsIwVldYKXg+MzA==
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-07-27 08:58:51,494] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-07-27 08:58:51,495] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.12 websockets/10.4
[2025-07-27 08:58:51,495] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-07-27 08:58:51,495] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
[2025-07-27 08:58:51,495] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-07-27 08:58:51,495] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: yRU0gUbqmqd2vdmti4sd36dLvw0=
[2025-07-27 08:58:51,496] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-07-27 08:58:51,496] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"time":1753577931,"self_id":2958815892,"post_t...","sub_type":"connect"}' [116 bytes]
[2025-07-27 08:58:51,496] INFO     [MainThread|MainProcess] Logger (connect.py:on_message:43) | 机器人 2958815892 成功启动
[2025-07-27 08:59:05,091] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"time":1753577945,"self_id":2958815892,"post_t...true},"interval":30000}' [149 bytes]
[2025-07-27 08:59:05,091] DEBUG    [MainThread|MainProcess] Logger (connect.py:on_message:45) | {'time': 1753577945, 'self_id': 2958815892, 'post_type': 'meta_event', 'meta_event_type': 'heartbeat', 'status': {'online': True, 'good': True}, 'interval': 30000}
[2025-07-27 08:59:26,882] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"self_id":2958815892,"user_id":1733682365,"tim...,"group_id":1015792000}' [435 bytes]
[2025-07-27 08:59:26,882] DEBUG    [MainThread|MainProcess] Logger (client.py:handle_group_event:166) | {'group_id': '1015792000', 'user_id': '1733682365', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 1733682365, 'nickname': '全麻辣萌新', 'card': '我'}", 'raw_message': 'jrlp', 'message_id': '1946716799', 'message_seq': '1946716799', 'real_id': '1946716799', 'message': "[{'type': 'text', 'data': {'text': 'jrlp'}}]", 'message_format': 'array'}
[2025-07-27 08:59:26,882] INFO     [MainThread|MainProcess] Logger (main.py:on_group_message:20) | {'group_id': '1015792000', 'user_id': '1733682365', 'message_type': 'group', 'sub_type': 'normal', 'font': '14', 'sender': "{'user_id': 1733682365, 'nickname': '全麻辣萌新', 'card': '我'}", 'raw_message': 'jrlp', 'message_id': '1946716799', 'message_seq': '1946716799', 'real_id': '1946716799', 'message': "[{'type': 'text', 'data': {'text': 'jrlp'}}]", 'message_format': 'array'}
[2025-07-27 08:59:26,883] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET /api HTTP/1.1
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: rPBDziMA5EvUWfTpewVUDw==
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.12 websockets/10.4
[2025-07-27 08:59:26,884] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:147) | < HTTP/1.1 101 Switching Protocols
[2025-07-27 08:59:26,885] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Upgrade: websocket
[2025-07-27 08:59:26,885] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Connection: Upgrade
[2025-07-27 08:59:26,885] DEBUG    [MainThread|MainProcess] websockets.client (client.py:read_http_response:149) | < Sec-WebSocket-Accept: c4ATODXJ2gPcX0e+nnSIkZ15poQ=
[2025-07-27 08:59:26,885] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_open:357) | = connection is OPEN
[2025-07-27 08:59:26,885] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > TEXT '{"action": "mark_group_msg_as_read", "params": ..."}, "echo": 1753577966}' [94 bytes]
[2025-07-27 08:59:27,515] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < TEXT '{"status":"ok","retcode":0,"data":null,"message...":"","echo":1753577966}' [83 bytes]
[2025-07-27 08:59:27,515] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_close_frame:1232) | = connection is CLOSING
[2025-07-27 08:59:27,515] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:write_frame_sync:1183) | > CLOSE 1000 (OK) [2 bytes]
[2025-07-27 08:59:27,516] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:read_frame:1177) | < CLOSE 1000 (OK) [2 bytes]
[2025-07-27 08:59:27,516] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:connection_lost:1514) | = connection is CLOSED
[2025-07-27 08:59:27,517] DEBUG    [MainThread|MainProcess] Logger (function_enhance.py:check_and_log:76) | {'status': 'ok', 'retcode': 0, 'data': None, 'message': '', 'wording': '', 'echo': 1753577966}
[2025-07-27 08:59:27,517] DEBUG    [MainThread|MainProcess] websockets.client (protocol.py:__init__:256) | = connection is CONNECTING
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:114) | > GET /api HTTP/1.1
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Host: localhost:3001
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Upgrade: websocket
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Connection: Upgrade
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Key: 3g0ojU11WI5err/UbstZlg==
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Version: 13
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > Content-Type: application/json
[2025-07-27 08:59:27,518] DEBUG    [MainThread|MainProcess] websockets.client (client.py:write_http_request:116) | > User-Agent: Python/3.12 websockets/10.4
